name,place_id,rating_place,price_level,user_ratings_total,lat_place,lng_place
Hogtown Smoke,ChIJfSln8PfL1IkRxQbAZ1weVN4,4.3,2,632,43.6694407,-79.3020439
The Beech Tree,ChIJK2yxmKfO1IkRK7ndDPvVJek,4.7,2,126,43.6804991,-79.28889099999999
Nando's Beaches,ChIJqU8j_vfL1IkReOjSDSzvdhU,4.2,2,224,43.670046,-79.3017266
Green Eggplant,ChIJo-annQfM1IkRCOZKhoAGsvw,4.3,2,829,43.6704393,-79.2987352
King's Diner,ChIJ_xG6hKfO1IkRQJNApONIywE,4.4,1,127,43.68053949999999,-79.2896018
Thai House Cuisine,ChIJa7uSNQfM1IkRv7kPuoLsWJo,4.3,1,192,43.6708005,-79.29598849999999
Chiado & Senior Antonio Tapas & Wine Bar,ChIJh__h6vc0K4gR8lc4e6LYP0w,4.6,4,337,43.6541644,-79.4242526
Swiss Chalet Rotisserie & Grill,ChIJ64iNI1s0K4gR0LSOmnCPzoE,3.8,2,426,43.6549531,-79.433858
Via Norte Restaurant,ChIJPwdOGlg0K4gRGIUDRWq880c,4.3,3,115,43.6537402,-79.4262129
First Choice Restaurant,ChIJIbs3ZPk0K4gRM8Xeb0dI3J4,4.3,2,37,43.6495868,-79.4202553
Burgatory,ChIJpSrlIPE0K4gRU08__FB_pcw,4.6,2,237,43.655055,-79.41856299999999
Pho Linh,ChIJtWuiWVA0K4gRmKFGA27fvE4,4.4,1,688,43.6523894,-79.4341151
The Captain's Boil,ChIJ___zAPE0K4gRdVZLK8xRp-g,4.4,2,311,43.6550187,-79.41705429999999
Chito's Pizza And Foods,ChIJn4vvoUY0K4gRBWpA7rIktQI,4.5,1,260,43.6585058,-79.4425128
Little Sito,ChIJq1tANfU0K4gRWSrh7KBaEcw,4.6,2,224,43.6624826,-79.4238902
A&W Canada,ChIJcf3gCfc0K4gROC7KmkbnSVg,4.2,1,535,43.654546,-79.422572
Drake Commissary,ChIJ6TMrWUg0K4gRuW9PKrGLue4,4.0,2,312,43.6536477,-79.4453363
Ten Restaurant,ChIJu_zQS3c1K4gR8qjPsqI9ddU,4.9,0,40,43.6525526,-79.4335148
Banjara Bloor,ChIJJRL_Ros0K4gRM8kCsKvdkCE,4.2,2,1355,43.6631537,-79.42194719999999
Cafe Diplomatico Restaurant & Pizzeria,ChIJgSasJu40K4gR5XBFeP58Sk0,4.2,1,1259,43.6554635,-79.4138026
Hancook Cheese Dakgalbi,ChIJ_Z45b5I0K4gRfzIfKakRTcA,4.4,1,232,43.6645983,-79.4131203
Crown Princess Fine Dining,ChIJg8Q6CrE0K4gRaobHJCOPjto,3.9,2,541,43.6663456,-79.3874471
Olympic 76 Pizza Cafe,ChIJB68JObI0K4gRTGoh_xlCtuM,4.5,0,255,43.6668224,-79.3846988
Redhills Ventures LLC,ChIJq6pqMqU0K4gRJ9Ck_Htl2Jc,0.0,0,0,43.6694338,-79.3936282
ONE Restaurant,ChIJN5ARE6U0K4gReXlsVKn60L4,4.2,4,384,43.6709039,-79.3936942
Blu Ristorante - Best Italian Restaurant Yorkville,ChIJKSGg_K40K4gRZu1p14vL_Yg,4.4,3,482,43.671595,-79.3884413
Flor de Sal Restaurant,ChIJP1v4X540K4gRtgwxJDmna-U,4.5,3,106,43.677598,-79.407044
Onoir,ChIJE21UDa00K4gRJ4nBqo3AEIQ,4.0,2,837,43.6690843,-79.38267139999999
Swiss Chalet Rotisserie & Grill,ChIJJ2IIB8g0K4gR8OZb_X8Vbgk,3.6,2,268,43.65876189999999,-79.39061199999999
Harvey's,ChIJp5JDtUvL1IkRZsfZp9x80z8,3.8,1,354,43.6605187,-79.376293
Utsav Restaurant,ChIJF4XBnK80K4gR4vAM74m0ERQ,4.1,2,255,43.671063,-79.390778
Swiss Chalet Rotisserie & Grill,ChIJ61Ryn8o0K4gRATgb-ymO-J4,3.8,2,511,43.6583169,-79.38217399999999
Matisse Restaurant & Bar,ChIJQwZ7M6w0K4gREj_d0c2QogA,3.8,3,61,43.6709215,-79.3850612
Café Boulud,ChIJWWtTba80K4gRcxZ_EMWjLTg,4.4,3,603,43.671781,-79.3899715
Joso's,ChIJIYGMr6Y0K4gRah2qy_A3NoI,4.7,4,298,43.6749958,-79.39603749999999
The Diner's Corner,ChIJJ0hTibE0K4gRHcEjcIrlAKo,4.7,2,240,43.668271,-79.3862499
Evoo,ChIJTezxqKY0K4gRCKwosWqDhMI,4.4,3,235,43.67441849999999,-79.3966444
Sassafraz,ChIJtXyHi680K4gRajtSwdOTYaw,4.2,3,1081,43.6703683,-79.3910944
Signatures Restaurant,ChIJ387SQ7s0K4gRb5A-hdQrb_M,4.1,0,35,43.66884049999999,-79.396399
Terroni,ChIJi8aZ9VozK4gR3TFH7VvtPhs,4.2,3,1415,43.6800258,-79.3903954
Faculty Club - University Of Toronto,ChIJAeWom780K4gRhKX-Db_5ofY,4.3,3,97,43.66112280000001,-79.400542
A&W Canada,ChIJSRwW7PTN1IkRw3QiNCgtKrI,4.2,1,181,43.6816334,-79.33227819999999
Maha's,ChIJhTdaQofL1IkRDHRk4LCE52k,4.5,2,1563,43.6717021,-79.3285255
Budapest Restaurant,ChIJL5sliBLM1IkRRRNVo0dHUkg,4.5,2,229,43.6809704,-79.31012989999999
Square Boy,ChIJZfEcPZ7O1IkRpdsE2AjSIYY,4.5,1,820,43.6797764,-79.3394328
Morgans On The Danforth,ChIJ-9x1rXzM1IkRB-8EK1WmaTo,4.5,2,325,43.682065,-79.330303
ASAP City,ChIJg1VSVGvM1IkRdwLeKrBIWlY,4.2,2,284,43.6854058,-79.3129137
Thai Room,ChIJX2lwVmvM1IkRkYDIvQjRfrQ,4.1,2,160,43.6854285,-79.313163
Lalibela Cuisine,ChIJkSwl23zM1IkR80dBvBpV70o,4.8,2,1363,43.6817099,-79.3319989
Ritz Restaurant,ChIJtzEmvIzM1IkRUL4dRJWWe38,4.6,1,102,43.691871,-79.342182
Hakka Wow,ChIJfyr22HfM1IkRiKRcLne2L_A,3.9,0,325,43.6720669,-79.3221257
Thai One On,ChIJYyZM03fM1IkR0dmZyN1jEik,2.6,0,20,43.6722484,-79.3212267
