restaurant_id,city_id,name,international_phone_number,formatted_address,latitude,longitude
470,1,Brassaii,14165984730,"461 King St W, Toronto, ON M5V 1K4, Canada",43.6444564,-79.3960911
471,1,Ding Dong Pastries & Cafe,14166402761,"321 Spadina Ave, Toronto, ON M5T 2E9, Canada",43.654353,-79.3983037
472,1,Izba Restaurant,14162517177,"648 The Queensway, Etobicoke, ON M8Y 1K7, Canada",43.6276087,-79.4975775
473,1,Trecce,14164632655,"1792 Danforth Ave, Toronto, ON M4C 1H8, Canada",43.6845807,-79.3189197
474,1,Jimmy The Greek,14163488869,"260 Yonge St, Toronto, ON M5B 2L9, Canada",43.6549397,-79.3811749
475,1,Thai Island,14162037745,"130 King St W, Toronto, ON M5H 3C2, Canada",43.6482981,-79.3833794
476,1,Dim Sum King,14165513366,"421 Dundas St W, Toronto, ON M5T 2W4, Canada",43.653312,-79.3954453
477,1,Miller Tavern,14163225544,"3885 Yonge St, North York, ON M4N 2P2, Canada",43.7408078,-79.4057289
478,1,Joey,14164456391,"75 O'Neill Rd, North York, ON M3C 0H2, Canada",43.733964,-79.3449249
479,1,Oliver & Bonacini Cafe Grill,14165901300,"2901 Bayview Ave, North York, ON M2K 1E6, Canada",43.7681407,-79.3864415
480,1,Doma,14165511550,"50 Clinton St, Toronto, ON M6G 2Y3, Canada",43.655429,-79.414203
481,1,Wow K Food,14165513307,"109 McCaul St, Toronto, ON M5T 2W7, Canada",43.6537199,-79.3909041
482,1,Lucy,14164060534,"1690 Danforth Ave, Toronto, ON M4C 1H8, Canada",43.6841301,-79.3207525
483,1,The Nilgiris,14164120024,"3021 Markham Rd #50, Scarborough, ON M1X 1L8, Canada",43.8291109,-79.2487839
484,1,The Friendly Thai,14164618424,"1218 Queen St E, Toronto, ON M4M 1L7, Canada",43.6633301,-79.3306121
485,1,Indian Sweets & Samosa,14162497777,"2011 Lawrence Ave W, York, ON M9N 1H4, Canada",43.7000601,-79.5103818
486,1,Taste Of China,14163488828,"338 Spadina Ave, Toronto, ON M5T 2G2, Canada",43.6540488,-79.398761
